Date,Predicted_Close_Inv
2023-11-08,179.4977
2023-11-09,180.21442
2023-11-10,181.36996
2023-11-13,181.72385
2023-11-14,183.19066
2023-11-15,184.4295
2023-11-16,185.57529
2023-11-17,185.90224
2023-11-20,186.939
2023-11-21,187.04512
2023-11-22,187.7054
2023-11-24,187.49594
2023-11-27,187.77045
2023-11-28,188.52017
2023-11-29,188.06662
2023-11-30,188.44315
2023-12-01,190.29813
2023-12-04,187.38818
2023-12-05,191.14653
2023-12-06,190.22134
2023-12-07,192.53389
2023-12-08,193.17905
2023-12-11,190.63535
2023-12-12,193.14104
2023-12-13,195.04193
2023-12-14,196.36552
2023-12-15,196.76569
2023-12-18,195.80399
2023-12-19,196.8794
2023-12-20,195.41978
2023-12-21,195.02565
2023-12-22,192.23474
2023-12-26,190.70108
2023-12-27,189.89839
2023-12-28,190.4911
2023-12-29,189.58624
2024-01-02,188.31172
2024-01-03,187.48737
2024-01-04,185.67867
2024-01-05,184.63124
2024-01-08,186.23106
2024-01-09,186.31601
2024-01-10,187.0593
2024-01-11,186.50963
2024-01-12,186.74043
2024-01-16,184.9591
2024-01-17,184.03958
2024-01-18,187.42503
2024-01-19,189.94585
2024-01-22,191.5666
2024-01-23,192.3847
2024-01-24,191.9774
2024-01-25,191.72061
2024-01-26,190.48224
2024-01-29,189.46793
2024-01-30,187.26086
2024-01-31,184.69157
2024-02-01,185.4086
2024-02-02,184.62067
2024-02-05,186.70502
2024-02-06,187.17549
2024-02-07,186.93639
2024-02-08,186.08595
2024-02-09,186.04692
2024-02-12,184.70737
2024-02-13,183.45708
2024-02-14,182.43864
2024-02-15,181.81157
2024-02-16,181.34308
2024-02-20,180.63167
2024-02-21,181.27898
2024-02-22,183.15193
2024-02-23,181.508
2024-02-26,179.22491
2024-02-27,179.41832
2024-02-28,177.94093
2024-02-29,176.8084
2024-03-01,176.80156
2024-03-04,175.42203
2024-03-05,173.16856
2024-03-06,172.15613
2024-03-07,170.78104
2024-03-08,170.35455
2024-03-11,171.69878
2024-03-12,171.71347
2024-03-13,170.36172
2024-03-14,170.40599
2024-03-15,169.44785
2024-03-18,170.93677
2024-03-19,172.56189
2024-03-20,175.50526
2024-03-21,171.30757
2024-03-22,171.5835
2024-03-25,170.39456
2024-03-26,169.1311
2024-03-27,170.9509
2024-03-28,170.07535
2024-04-01,168.27165
2024-04-02,167.74425
2024-04-03,167.49432
2024-04-04,166.81819
2024-04-05,166.9058
2024-04-08,166.361
2024-04-09,166.87135
2024-04-10,165.72632
2024-04-11,172.5547
2024-04-12,175.11975
2024-04-15,172.91548
2024-04-16,170.28888
2024-04-17,167.90689
2024-04-18,167.50905
2024-04-19,166.64586
2024-04-22,166.84341
2024-04-23,167.3508
2024-04-24,168.9103
2024-04-25,169.71039
2024-04-26,169.69
2024-04-29,171.91743
2024-04-30,170.82237
2024-05-01,169.96855
2024-05-02,172.8542
2024-05-03,175.51665
2024-05-06,177.15248
2024-05-07,178.49211
2024-05-08,179.68834
2024-05-09,180.73679
2024-05-10,180.29369
2024-05-13,181.7798
2024-05-14,182.46011
2024-05-15,183.8471
2024-05-16,185.18002
2024-05-17,186.1042
2024-05-20,187.48735
2024-05-21,189.069
2024-05-22,188.8331
2024-05-23,186.31252
2024-05-24,188.68657
2024-05-28,189.63788
2024-05-29,190.97829
2024-05-30,193.07928
2024-05-31,194.63031
2024-06-03,195.92639
2024-06-04,196.2696
2024-06-05,196.65016
2024-06-06,195.71835
2024-06-07,197.13124
2024-06-10,195.4773
2024-06-11,199.90875
2024-06-12,203.07088
2024-06-13,205.66855
2024-06-14,206.46576
2024-06-17,207.70612
2024-06-18,207.48952
2024-06-20,206.44757
2024-06-21,204.89737
2024-06-24,206.68297
2024-06-25,207.48953
2024-06-26,209.32298
2024-06-27,210.35759
2024-06-28,209.28091
2024-07-01,211.85135
2024-07-02,212.1308
2024-07-03,212.75093
2024-07-05,213.9618
2024-07-08,215.19037
2024-07-09,216.57869
2024-07-10,218.96404
2024-07-11,218.89174
2024-07-12,220.64629
2024-07-15,222.3888
2024-07-16,222.84712
2024-07-17,221.25189
2024-07-18,219.90683
2024-07-19,219.28615
2024-07-22,218.22945
2024-07-23,218.3098
2024-07-24,215.83308
2024-07-25,215.39229
2024-07-26,215.41963
2024-07-29,215.45674
2024-07-30,215.4139
2024-07-31,217.27623
2024-08-01,215.16275
2024-08-02,215.00632
2024-08-05,211.33499
2024-08-06,210.72107
2024-08-07,210.83427
2024-08-08,211.49702
2024-08-09,212.31607
2024-08-12,213.87317
2024-08-13,215.69975
2024-08-14,215.96217
2024-08-15,216.21268
2024-08-16,216.32298
2024-08-19,216.40825
2024-08-20,216.87274
2024-08-21,217.02597
2024-08-22,216.57709
2024-08-23,218.2438
2024-08-26,217.75383
2024-08-27,217.90434
2024-08-28,216.99348
2024-08-29,218.045
2024-08-30,217.28207
2024-09-03,211.89395
2024-09-04,211.79218
2024-09-05,213.35202
2024-09-06,212.3781
2024-09-09,212.81151
2024-09-10,213.32408
2024-09-11,215.35507
2024-09-12,215.911
2024-09-13,216.23973
2024-09-16,213.08072
2024-09-17,213.43446
2024-09-18,214.62804
2024-09-19,220.31158
2024-09-20,218.76103
2024-09-23,220.77385
2024-09-24,220.876
2024-09-25,219.89822
2024-09-26,220.12218
2024-09-27,220.3469
2024-09-30,220.80617
2024-10-01,218.21866
2024-10-02,218.35376
2024-10-03,217.80885
