Date,Volume,SMA_20,EMA_20,MACD,Signal_Line,RSI,%K,%D,BB_Mid,BB_Upper,BB_Lower,Std_Dev_20,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,+DI,-DI,ADX,Fib_23.6,Fib_38.2,Fib_61.8,sec_sentiment_score,news_sentiment_score
2020-09-10,6191800,150.68949966430665,149.9666698316171,0.14447992455910708,0.8645463105992255,38.63980708576981,0.0,12.379501376463551,150.68949966430665,155.1055816112035,146.2734177174098,2.2080409734484214,150.99500274658203,150.9199981689453,146.0800018310547,144.34500122070312,148.10000610351562,10.081069232382081,8.021015199603266,22.775511903988754,148.54312322998047,149.55344296264647,151.1865625305176,0.5331285949108073,0.14049999999999999
2020-09-11,3934700,150.6784996032715,149.75841544568186,-0.03498281652667856,0.6846404851740447,37.15170693031264,12.572187101027762,16.570230410139473,150.6784996032715,155.1237885536057,146.2332106529373,2.2226444751670966,150.99500274658203,150.9199981689453,146.0175018310547,144.34500122070312,144.32000732421875,5.689227744446942,8.477603336552995,21.317026439681594,148.54312322998047,149.55344296264647,151.1865625305176,0.5312862282925106,0.28099999999999997
2020-09-14,4375800,150.68399963378906,149.6242812226184,-0.12971819388951644,0.5217687493613326,40.17583114655541,20.809289341556617,11.127158814194788,150.68399963378906,155.1168398601353,146.25115940744283,2.216420113173118,150.99500274658203,150.9199981689453,146.25,144.34500122070312,144.5500030517578,5.801418811941813,11.809168919096228,20.889398016549823,148.54312322998047,149.55344296264647,151.1865625305176,0.5254619012272657,0.4215
2020-09-15,3658800,150.6789993286133,149.55434961947842,-0.15938641037814705,0.3855377174134367,41.99090640630337,28.61266259324512,20.66471301194316,150.6789993286133,155.12010314849164,146.23789550873494,2.2205519099391786,150.99500274658203,150.9199981689453,146.31750106811523,144.34500122070312,143.92999267578125,8.235550105110802,8.93500344631224,20.64566267783275,148.54312322998047,149.55344296264647,151.1865625305176,0.5234403466305206,0.0
2020-09-16,4323000,150.59449920654296,149.44441097919326,-0.21990312747632856,0.26444954843548363,40.26943497537958,21.531656483112794,23.651202805971508,150.59449920654296,155.1457350302437,146.0432633828422,2.2756179118503788,150.99500274658203,150.9199981689453,146.38000106811523,144.34500122070312,145.0800018310547,8.291676675703396,8.99589690154886,20.40192733911568,148.54312322998047,149.55344296264647,151.1865625305176,0.5213882176605049,0.0
2020-09-17,5461400,150.43349914550782,149.22780023536012,-0.36292980856802615,0.13897367703478167,35.89121274416661,3.757147046695876,17.967155374351258,150.43349914550782,155.23607011316963,145.63092817784602,2.401285483830898,148.57500457763672,150.76000213623047,146.38000106811523,144.34500122070312,145.24000549316406,8.069855124094525,5.99158219170688,21.405299073022743,148.54312322998047,149.55344296264647,151.1865625305176,0.5193112033657545,-0.6808
2020-09-18,12174000,150.3214988708496,149.22324713444786,-0.3105103552191224,0.049076870584000856,39.83589489650932,32.803318125990884,19.36404055193318,150.3214988708496,155.13167414806344,145.51132359363578,2.405087638606916,148.57500457763672,150.76000213623047,146.6125030517578,144.34500122070312,143.97000122070312,9.023000814366705,5.780701657311106,22.150806300500374,148.54312322998047,149.55344296264647,151.1865625305176,0.517214992794806,0.03490000000000004
2020-09-21,7574500,149.9384994506836,148.8305575124543,-0.5913714177023337,-0.07901278707326606,33.88909531100977,0.0,12.186821724228915,149.9384994506836,155.13543051012655,144.74156839124063,2.598465529721477,147.0300064086914,149.21500396728516,147.0775032043457,144.34500122070312,143.14999389648438,6.926974541517353,5.317883697755974,21.96391488726198,147.16028509521485,148.43486447143556,150.49514346313475,0.5108680739101357,0.7506
2020-09-22,5295900,149.54150009155273,148.390505055446,-0.8756770855719651,-0.2383456467730059,35.256143529996876,0.0,10.93443937533029,149.54150009155273,155.21806670773543,143.86493347537004,2.8382833080913428,146.7750015258789,149.21500396728516,147.29000091552734,144.34500122070312,138.36000061035156,7.266335127556077,7.142832463862437,19.844855373076008,146.48032556152344,147.8848448486328,150.15516369628907,0.5087519687197588,0.516
2020-09-23,8784400,149.16050033569337,148.01426671125174,-1.0700972278818313,-0.404695962994771,29.32626765328179,4.189364966425046,1.396454988808344,149.16050033569337,155.14012227597777,143.18087839540897,2.9898109701421958,146.7750015258789,149.21500396728516,147.88999938964844,144.34500122070312,137.19000244140625,11.69936905968784,7.408173556798962,19.08924681285467,146.48032556152344,147.8848448486328,150.15516369628907,0.5066451124958657,-0.3612
2020-09-24,5614800,148.77900009155275,147.6957649453178,-1.191878623473258,-0.5621324950904685,36.923869490555234,8.378729932850092,4.189364966425042,148.77900009155275,154.88745336784862,142.67054681525687,3.054226638147936,146.7750015258789,149.21500396728516,148.06000137329102,144.34500122070312,137.11000061035156,10.437672133975049,8.345330341267934,17.050689555689384,146.48032556152344,147.8848448486328,150.15516369628907,0.5045531942869936,-0.4588
2020-09-25,5531200,148.41300048828126,147.50188291834556,-1.1947339382457756,-0.6886527837215299,42.161591553688325,26.411648952728246,12.993247950667788,148.41300048828126,154.33598634602998,142.49001463053253,2.9614929288743626,146.7750015258789,149.21500396728516,148.39500045776367,144.34500122070312,138.69000244140625,13.310029311950732,8.649022193334128,16.154442649861497,146.48032556152344,147.8848448486328,150.15516369628907,0.5024819031416774,0.5106
