Date,Volume,SMA_20,EMA_20,MACD,Signal_Line,RSI,%K,%D,BB_Mid,BB_Upper,BB_Lower,Std_Dev_20,Tenkan_sen,Kijun_sen,Senkou_Span_A,Senkou_Span_B,Chikou_Span,+DI,-DI,ADX,Fib_23.6,Fib_38.2,Fib_61.8,sec_sentiment_score,news_sentiment_score
2020-03-05,187572800,76.86212387084962,75.44698733258677,-1.4365967756675957,-0.9405529738367613,37.54192507522298,37.914359166685394,41.5022579849773,76.86212387084962,85.77815600866383,67.9460917330354,4.4580160689071056,70.0687484741211,73.02750015258789,76.8812484741211,72.45249938964844,68.3125,11.529049850746315,10.561241663998567,50.31615728161636,71.51655792236328,73.48171890258789,76.65828048706055,0.06234107994068627,-0.296
2020-03-06,226176800,76.40987396240234,75.14322660518081,-1.4988500649153167,-1.0522123920524724,36.39805698910043,31.17789570835256,42.013751940895155,76.40987396240234,85.29509861262832,67.52464931217636,4.442612325112992,70.04624938964844,72.94874954223633,77.44625091552734,73.01750183105469,71.76249694824219,11.056878090760174,10.128706448288112,47.55286396571196,71.51655792236328,73.48171890258789,76.65828048706055,0.056393946864939926,-0.1866
2020-03-09,286744800,75.73662414550782,74.32411010534774,-1.9864402408252886,-1.2390579618070356,32.26586335458194,0.0,23.030751625012652,75.73662414550782,85.47375942712871,65.99948886388692,4.868567640810444,70.04624938964844,72.94874954223633,77.55937576293945,73.01750183105469,71.10749816894531,10.284817132217027,9.421456287340572,45.58123516213037,70.14327328491211,72.37086824035644,75.97163816833496,0.039462808979878305,-0.0772
2020-03-10,285290000,75.28399925231933,74.0394328652644,-1.9635104888049142,-1.3839484672066114,38.29357616992938,35.41472748686244,22.197541065071665,75.28399925231933,84.9522039630609,65.61579454157777,4.83410235537078,70.04624938964844,72.94874954223633,77.71875190734863,73.01750183105469,71.67250061035156,13.141183064808809,6.591478354890888,42.22545278908023,70.14327328491211,72.37086824035644,75.97163816833496,0.034148506222513975,0.0
2020-03-11,255598800,74.73174934387207,73.54591527513877,-2.1208047961380885,-1.531319732992907,36.80992294260635,19.752526261861533,18.38908458290799,74.73174934387207,84.54980111416155,64.91369757358258,4.909025885144741,70.04624938964844,72.94874954223633,77.66375160217285,73.01750183105469,70.69999694824219,12.73332436777322,7.413564694317742,38.4155248874077,70.14327328491211,72.37086824035644,75.97163816833496,0.02901190311244295,-0.2083
2020-03-12,418474000,73.74462413787842,72.45178038530506,-2.7623224427755844,-1.7775202749494425,32.94569438945521,0.0,18.38908458290799,73.74462413787842,84.49597908073841,62.993269195018435,5.375677471429992,69.0,71.90250015258789,77.69625091552734,73.01750183105469,69.23249816894531,11.889969276595055,6.922548574084803,34.605596985735176,66.58397990417481,69.38426050567627,73.91074147796631,0.024060796476744528,-0.4166
2020-03-13,370732000,73.15837421417237,72.1699441871975,-2.6403510028954287,-1.95008642053864,45.068568126544235,54.55881212652564,24.77044612946239,73.15837421417237,83.4634386766111,62.85330975173363,5.152532231219366,69.0,71.90250015258789,77.69625091552734,73.01750183105469,67.09249877929688,15.195560798204315,6.722096991634475,31.6710672920874,66.58397990417481,69.38426050567627,73.91074147796631,0.019302983142497565,-0.6249
2020-03-16,322423600,72.1241241455078,71.06352109112791,-3.227862146967297,-2.2056415658243713,40.05291505656977,0.0,18.186270708841878,72.1241241455078,83.14243822996528,61.105810061050335,5.509157042228736,67.92499923706055,70.90250015258789,77.96500015258789,73.01750183105469,69.0250015258789,14.07827036006026,6.227838517546591,29.481517604791378,65.3556909942627,68.32715557098389,73.13034488677978,0.006267271219258186,-0.31245
2020-03-17,324056000,71.29737415313721,70.31604290650505,-3.4389851063875483,-2.452310273937007,41.593069510005456,17.59457590613107,24.051129344218904,71.29737415313721,82.38756528412014,60.20718302215429,5.5450955654914615,67.24374771118164,70.70249938964844,78.1668758392334,73.01750183105469,68.75749969482422,13.712279917476195,5.943090024418418,27.98429763935602,65.3556909942627,68.32715557098389,73.13034488677978,0.0023605993616095944,0.0
2020-03-18,300233600,70.33549919128419,69.49237210990803,-3.6886514611022534,-2.6995785113700563,43.998927771568965,7.368235039362039,8.320936981831037,70.33549919128419,81.2527725832695,59.41822579929887,5.458636695992658,65.99250030517578,70.54249954223633,78.1668758392334,73.01750183105469,70.74250030517578,13.894501220282093,6.022067234150116,26.719604450587322,65.15981056213379,68.01009487152099,72.617403755188,-0.0013137950591922687,0.068
